Local time,Ask,Bid
17.02.2021 16:31:26.882 GMT+0200,76.282,76.258
17.02.2021 16:31:27.054 GMT+0200,76.283,76.267
17.02.2021 16:31:27.644 GMT+0200,76.273,76.257
17.02.2021 16:31:28.603 GMT+0200,76.273,76.267
17.02.2021 16:31:28.653 GMT+0200,76.282,76.268
17.02.2021 16:31:28.818 GMT+0200,76.283,76.257
17.02.2021 16:31:29.349 GMT+0200,76.273,76.257
17.02.2021 16:31:32.510 GMT+0200,76.282,76.258
17.02.2021 16:31:32.566 GMT+0200,76.272,76.258
17.02.2021 16:31:33.020 GMT+0200,76.282,76.258
17.02.2021 16:31:33.171 GMT+0200,76.272,76.258
17.02.2021 16:31:33.527 GMT+0200,76.282,76.268
17.02.2021 16:31:39.494 GMT+0200,76.273,76.257
17.02.2021 16:31:39.730 GMT+0200,76.282,76.268
17.02.2021 16:31:40.598 GMT+0200,76.283,76.257
17.02.2021 16:31:41.196 GMT+0200,76.273,76.257
17.02.2021 16:31:44.812 GMT+0200,76.283,76.267
17.02.2021 16:31:47.947 GMT+0200,76.282,76.258
17.02.2021 16:31:48.219 GMT+0200,76.272,76.258
17.02.2021 16:31:56.499 GMT+0200,76.262,76.248
17.02.2021 16:32:01.568 GMT+0200,76.262,76.238
17.02.2021 16:32:01.792 GMT+0200,76.252,76.238
17.02.2021 16:32:03.502 GMT+0200,76.253,76.227
17.02.2021 16:32:03.571 GMT+0200,76.242,76.228
17.02.2021 16:32:10.570 GMT+0200,76.252,76.238
17.02.2021 16:32:13.466 GMT+0200,76.263,76.237
17.02.2021 16:32:13.517 GMT+0200,76.262,76.248
17.02.2021 16:32:16.225 GMT+0200,76.253,76.237
17.02.2021 16:32:21.327 GMT+0200,76.263,76.237
17.02.2021 16:32:21.399 GMT+0200,76.262,76.248
17.02.2021 16:32:23.330 GMT+0200,76.272,76.258
17.02.2021 16:32:26.154 GMT+0200,76.263,76.247
17.02.2021 16:32:29.107 GMT+0200,76.272,76.248
17.02.2021 16:32:29.230 GMT+0200,76.273,76.257
17.02.2021 16:32:32.547 GMT+0200,76.262,76.248
17.02.2021 16:32:33.730 GMT+0200,76.262,76.238
17.02.2021 16:32:33.882 GMT+0200,76.252,76.238
17.02.2021 16:32:34.383 GMT+0200,76.262,76.248
17.02.2021 16:32:37.172 GMT+0200,76.272,76.258
17.02.2021 16:32:37.583 GMT+0200,76.283,76.257
17.02.2021 16:32:37.633 GMT+0200,76.273,76.257
17.02.2021 16:32:38.097 GMT+0200,76.282,76.268
17.02.2021 16:32:39.842 GMT+0200,76.292,76.278
17.02.2021 16:32:43.305 GMT+0200,76.292,76.268
17.02.2021 16:32:43.581 GMT+0200,76.293,76.277
17.02.2021 16:32:46.405 GMT+0200,76.303,76.287
17.02.2021 16:32:47.692 GMT+0200,76.303,76.297
17.02.2021 16:32:47.742 GMT+0200,76.312,76.298
17.02.2021 16:32:48.219 GMT+0200,76.322,76.308
17.02.2021 16:32:49.048 GMT+0200,76.323,76.297
17.02.2021 16:32:49.098 GMT+0200,76.312,76.298
17.02.2021 16:32:50.438 GMT+0200,76.303,76.287
17.02.2021 16:32:50.914 GMT+0200,76.302,76.278
17.02.2021 16:32:51.014 GMT+0200,76.292,76.278
17.02.2021 16:32:51.250 GMT+0200,76.292,76.288
17.02.2021 16:32:51.301 GMT+0200,76.303,76.287
17.02.2021 16:32:51.615 GMT+0200,76.303,76.277
17.02.2021 16:32:52.151 GMT+0200,76.303,76.287
17.02.2021 16:32:54.184 GMT+0200,76.302,76.278
17.02.2021 16:32:55.294 GMT+0200,76.292,76.278
17.02.2021 16:32:55.887 GMT+0200,76.292,76.268
17.02.2021 16:32:56.176 GMT+0200,76.292,76.278
17.02.2021 16:32:56.405 GMT+0200,76.293,76.267
17.02.2021 16:32:56.686 GMT+0200,76.293,76.277
17.02.2021 16:33:00.292 GMT+0200,76.292,76.268
17.02.2021 16:33:00.393 GMT+0200,76.293,76.277
17.02.2021 16:33:00.987 GMT+0200,76.293,76.267
17.02.2021 16:33:01.037 GMT+0200,76.283,76.267
17.02.2021 16:33:02.358 GMT+0200,76.273,76.257
17.02.2021 16:33:02.993 GMT+0200,76.263,76.247
17.02.2021 16:33:04.669 GMT+0200,76.273,76.257
17.02.2021 16:33:04.819 GMT+0200,76.282,76.268
17.02.2021 16:33:05.554 GMT+0200,76.282,76.258
17.02.2021 16:33:05.766 GMT+0200,76.273,76.257
17.02.2021 16:33:06.978 GMT+0200,76.283,76.267
17.02.2021 16:33:07.984 GMT+0200,76.282,76.258
17.02.2021 16:33:09.308 GMT+0200,76.272,76.258
17.02.2021 16:33:09.459 GMT+0200,76.273,76.247
17.02.2021 16:33:09.509 GMT+0200,76.272,76.258
17.02.2021 16:33:11.853 GMT+0200,76.262,76.248
17.02.2021 16:33:12.018 GMT+0200,76.253,76.237
17.02.2021 16:33:12.169 GMT+0200,76.263,76.237
17.02.2021 16:33:12.611 GMT+0200,76.252,76.238
17.02.2021 16:33:12.762 GMT+0200,76.263,76.237
17.02.2021 16:33:12.816 GMT+0200,76.253,76.237
17.02.2021 16:33:16.769 GMT+0200,76.262,76.248
17.02.2021 16:33:17.121 GMT+0200,76.273,76.247
17.02.2021 16:33:17.409 GMT+0200,76.263,76.247
17.02.2021 16:33:18.260 GMT+0200,76.262,76.238
17.02.2021 16:33:18.926 GMT+0200,76.252,76.238
17.02.2021 16:33:21.536 GMT+0200,76.263,76.237
17.02.2021 16:33:21.636 GMT+0200,76.263,76.247
17.02.2021 16:33:22.008 GMT+0200,76.253,76.237
17.02.2021 16:33:23.317 GMT+0200,76.262,76.238
17.02.2021 16:33:23.787 GMT+0200,76.263,76.247
17.02.2021 16:33:24.305 GMT+0200,76.253,76.237
17.02.2021 16:33:25.731 GMT+0200,76.263,76.247
17.02.2021 16:33:28.060 GMT+0200,76.273,76.247
17.02.2021 16:33:28.166 GMT+0200,76.272,76.258
17.02.2021 16:33:28.396 GMT+0200,76.273,76.247
17.02.2021 16:33:28.446 GMT+0200,76.273,76.257
17.02.2021 16:33:30.118 GMT+0200,76.263,76.257
17.02.2021 16:33:30.169 GMT+0200,76.262,76.248
17.02.2021 16:33:31.230 GMT+0200,76.273,76.247
17.02.2021 16:33:31.346 GMT+0200,76.273,76.257
17.02.2021 16:33:31.591 GMT+0200,76.263,76.247
17.02.2021 16:33:31.691 GMT+0200,76.272,76.248
17.02.2021 16:33:31.852 GMT+0200,76.272,76.258
17.02.2021 16:33:36.222 GMT+0200,76.262,76.248
17.02.2021 16:33:42.563 GMT+0200,76.253,76.237
17.02.2021 16:33:47.291 GMT+0200,76.263,76.237
17.02.2021 16:33:47.391 GMT+0200,76.263,76.247
17.02.2021 16:33:48.524 GMT+0200,76.253,76.237
17.02.2021 16:33:53.077 GMT+0200,76.242,76.238
17.02.2021 16:33:53.127 GMT+0200,76.243,76.227
17.02.2021 16:33:57.949 GMT+0200,76.253,76.237
17.02.2021 16:33:58.625 GMT+0200,76.262,76.248
17.02.2021 16:34:00.102 GMT+0200,76.272,76.258
17.02.2021 16:34:01.328 GMT+0200,76.283,76.267
17.02.2021 16:34:01.429 GMT+0200,76.273,76.257
17.02.2021 16:34:02.535 GMT+0200,76.263,76.257
17.02.2021 16:34:02.586 GMT+0200,76.263,76.247
17.02.2021 16:34:02.863 GMT+0200,76.273,76.247
17.02.2021 16:34:02.913 GMT+0200,76.273,76.257
17.02.2021 16:34:04.051 GMT+0200,76.262,76.248
17.02.2021 16:34:05.139 GMT+0200,76.253,76.237
17.02.2021 16:34:08.439 GMT+0200,76.242,76.238
17.02.2021 16:34:08.489 GMT+0200,76.242,76.228
17.02.2021 16:34:09.325 GMT+0200,76.243,76.237
17.02.2021 16:34:09.375 GMT+0200,76.253,76.237
17.02.2021 16:34:15.880 GMT+0200,76.252,76.228
17.02.2021 16:34:15.931 GMT+0200,76.242,76.228
17.02.2021 16:34:16.769 GMT+0200,76.252,76.228
17.02.2021 16:34:16.836 GMT+0200,76.242,76.228
17.02.2021 16:34:17.018 GMT+0200,76.253,76.227
17.02.2021 16:34:17.373 GMT+0200,76.243,76.227
17.02.2021 16:34:17.489 GMT+0200,76.252,76.228
17.02.2021 16:34:17.642 GMT+0200,76.243,76.227
17.02.2021 16:34:17.810 GMT+0200,76.253,76.237
17.02.2021 16:34:18.006 GMT+0200,76.242,76.228
17.02.2021 16:34:18.574 GMT+0200,76.252,76.238
17.02.2021 16:34:21.188 GMT+0200,76.262,76.238
17.02.2021 16:34:21.289 GMT+0200,76.262,76.248
17.02.2021 16:34:21.856 GMT+0200,76.253,76.237
17.02.2021 16:34:25.289 GMT+0200,76.262,76.238
17.02.2021 16:34:25.414 GMT+0200,76.263,76.247
17.02.2021 16:34:26.690 GMT+0200,76.253,76.237
17.02.2021 16:34:29.699 GMT+0200,76.263,76.237
17.02.2021 16:34:29.799 GMT+0200,76.252,76.238
17.02.2021 16:34:30.823 GMT+0200,76.262,76.238
17.02.2021 16:34:30.873 GMT+0200,76.253,76.237
17.02.2021 16:34:33.423 GMT+0200,76.262,76.248
17.02.2021 16:34:33.574 GMT+0200,76.252,76.238
17.02.2021 16:34:33.985 GMT+0200,76.263,76.237
17.02.2021 16:34:34.318 GMT+0200,76.262,76.248
17.02.2021 16:34:38.825 GMT+0200,76.273,76.247
17.02.2021 16:34:38.948 GMT+0200,76.273,76.257
17.02.2021 16:34:40.578 GMT+0200,76.283,76.257
17.02.2021 16:34:40.729 GMT+0200,76.273,76.257
17.02.2021 16:34:41.325 GMT+0200,76.283,76.257
17.02.2021 16:34:41.555 GMT+0200,76.282,76.268
17.02.2021 16:34:41.760 GMT+0200,76.273,76.257
17.02.2021 16:34:44.780 GMT+0200,76.263,76.247
17.02.2021 16:34:45.442 GMT+0200,76.273,76.247
17.02.2021 16:34:46.606 GMT+0200,76.273,76.257
17.02.2021 16:34:49.062 GMT+0200,76.282,76.258
17.02.2021 16:34:49.413 GMT+0200,76.282,76.268
17.02.2021 16:34:52.060 GMT+0200,76.293,76.267
17.02.2021 16:34:52.111 GMT+0200,76.283,76.267
17.02.2021 16:34:53.844 GMT+0200,76.293,76.267
17.02.2021 16:34:53.995 GMT+0200,76.282,76.268
17.02.2021 16:34:54.045 GMT+0200,76.292,76.268
17.02.2021 16:34:54.156 GMT+0200,76.282,76.268
17.02.2021 16:34:54.263 GMT+0200,76.293,76.267
17.02.2021 16:34:54.313 GMT+0200,76.283,76.267
17.02.2021 16:34:54.414 GMT+0200,76.292,76.278
17.02.2021 16:34:54.720 GMT+0200,76.283,76.267
17.02.2021 16:34:55.550 GMT+0200,76.272,76.258
17.02.2021 16:35:00.338 GMT+0200,76.262,76.248
17.02.2021 16:35:01.519 GMT+0200,76.262,76.258
17.02.2021 16:35:01.570 GMT+0200,76.273,76.257
17.02.2021 16:35:02.476 GMT+0200,76.283,76.257
17.02.2021 16:35:02.527 GMT+0200,76.272,76.258
17.02.2021 16:35:04.374 GMT+0200,76.262,76.248
17.02.2021 16:35:05.279 GMT+0200,76.253,76.247
17.02.2021 16:35:05.329 GMT+0200,76.253,76.237
17.02.2021 16:35:06.880 GMT+0200,76.262,76.238
17.02.2021 16:35:06.930 GMT+0200,76.263,76.247
17.02.2021 16:35:07.292 GMT+0200,76.253,76.247
17.02.2021 16:35:07.342 GMT+0200,76.253,76.237
17.02.2021 16:35:07.393 GMT+0200,76.263,76.237
17.02.2021 16:35:07.623 GMT+0200,76.263,76.247
17.02.2021 16:35:08.874 GMT+0200,76.273,76.257
17.02.2021 16:35:09.171 GMT+0200,76.273,76.247
17.02.2021 16:35:09.322 GMT+0200,76.262,76.248
17.02.2021 16:35:09.472 GMT+0200,76.272,76.258
17.02.2021 16:35:15.095 GMT+0200,76.282,76.268
17.02.2021 16:35:18.146 GMT+0200,76.293,76.267
17.02.2021 16:35:18.529 GMT+0200,76.283,76.267
17.02.2021 16:35:18.641 GMT+0200,76.292,76.278
17.02.2021 16:35:20.214 GMT+0200,76.282,76.268
17.02.2021 16:35:25.695 GMT+0200,76.292,76.278
17.02.2021 16:35:25.796 GMT+0200,76.283,76.267
17.02.2021 16:35:27.287 GMT+0200,76.283,76.277
17.02.2021 16:35:27.338 GMT+0200,76.292,76.278
17.02.2021 16:35:28.323 GMT+0200,76.302,76.288
17.02.2021 16:35:28.624 GMT+0200,76.312,76.288
17.02.2021 16:35:28.674 GMT+0200,76.302,76.288
17.02.2021 16:35:28.725 GMT+0200,76.312,76.288
17.02.2021 16:35:28.956 GMT+0200,76.302,76.288
17.02.2021 16:35:29.056 GMT+0200,76.313,76.287
17.02.2021 16:35:29.107 GMT+0200,76.313,76.297
17.02.2021 16:35:30.078 GMT+0200,76.302,76.288
17.02.2021 16:35:34.223 GMT+0200,76.292,76.278
17.02.2021 16:35:35.027 GMT+0200,76.293,76.287
17.02.2021 16:35:35.077 GMT+0200,76.303,76.287
17.02.2021 16:35:36.247 GMT+0200,76.312,76.288
17.02.2021 16:35:36.297 GMT+0200,76.302,76.288
17.02.2021 16:35:37.221 GMT+0200,76.313,76.297
17.02.2021 16:35:38.112 GMT+0200,76.302,76.288
17.02.2021 16:35:39.122 GMT+0200,76.313,76.297
17.02.2021 16:35:39.408 GMT+0200,76.312,76.288
17.02.2021 16:35:39.559 GMT+0200,76.302,76.288
17.02.2021 16:35:39.824 GMT+0200,76.312,76.288
17.02.2021 16:35:39.916 GMT+0200,76.302,76.288
17.02.2021 16:35:40.451 GMT+0200,76.313,76.297
17.02.2021 16:35:41.369 GMT+0200,76.323,76.307
17.02.2021 16:35:45.561 GMT+0200,76.312,76.298
17.02.2021 16:35:47.771 GMT+0200,76.322,76.298
17.02.2021 16:35:47.821 GMT+0200,76.323,76.307
17.02.2021 16:35:53.716 GMT+0200,76.313,76.297
17.02.2021 16:35:55.304 GMT+0200,76.323,76.307
17.02.2021 16:35:57.416 GMT+0200,76.333,76.317
17.02.2021 16:36:04.239 GMT+0200,76.343,76.317
17.02.2021 16:36:04.289 GMT+0200,76.342,76.328
17.02.2021 16:36:15.358 GMT+0200,76.332,76.318
17.02.2021 16:36:19.773 GMT+0200,76.343,76.317
17.02.2021 16:36:19.823 GMT+0200,76.332,76.318
17.02.2021 16:36:20.087 GMT+0200,76.343,76.317
17.02.2021 16:36:20.182 GMT+0200,76.333,76.317
17.02.2021 16:36:20.459 GMT+0200,76.343,76.317
17.02.2021 16:36:20.509 GMT+0200,76.333,76.317
17.02.2021 16:36:20.610 GMT+0200,76.342,76.318
17.02.2021 16:36:20.665 GMT+0200,76.333,76.317
17.02.2021 16:36:26.111 GMT+0200,76.332,76.308
17.02.2021 16:36:26.860 GMT+0200,76.322,76.308
17.02.2021 16:36:27.315 GMT+0200,76.312,76.298
17.02.2021 16:36:28.008 GMT+0200,76.302,76.298
17.02.2021 16:36:28.058 GMT+0200,76.302,76.288
17.02.2021 16:36:28.330 GMT+0200,76.313,76.287
17.02.2021 16:36:28.487 GMT+0200,76.303,76.287
17.02.2021 16:36:28.639 GMT+0200,76.312,76.298
17.02.2021 16:36:29.033 GMT+0200,76.312,76.288
17.02.2021 16:36:29.529 GMT+0200,76.302,76.288
17.02.2021 16:36:30.592 GMT+0200,76.293,76.277
17.02.2021 16:36:31.541 GMT+0200,76.292,76.288
17.02.2021 16:36:31.591 GMT+0200,76.302,76.288
17.02.2021 16:36:32.284 GMT+0200,76.303,76.277
17.02.2021 16:36:32.408 GMT+0200,76.293,76.277
17.02.2021 16:36:33.071 GMT+0200,76.303,76.277
17.02.2021 16:36:33.243 GMT+0200,76.303,76.287
17.02.2021 16:36:33.601 GMT+0200,76.313,76.287
17.02.2021 16:36:33.701 GMT+0200,76.313,76.297
17.02.2021 16:36:34.297 GMT+0200,76.302,76.288
17.02.2021 16:36:34.398 GMT+0200,76.312,76.288
17.02.2021 16:36:34.448 GMT+0200,76.313,76.297
17.02.2021 16:36:35.704 GMT+0200,76.323,76.307
17.02.2021 16:36:36.313 GMT+0200,76.323,76.297
17.02.2021 16:36:36.492 GMT+0200,76.323,76.307
17.02.2021 16:36:37.692 GMT+0200,76.322,76.298
17.02.2021 16:36:38.019 GMT+0200,76.312,76.298
17.02.2021 16:36:38.691 GMT+0200,76.323,76.307
17.02.2021 16:36:38.792 GMT+0200,76.312,76.298
17.02.2021 16:36:40.467 GMT+0200,76.312,76.288
17.02.2021 16:36:41.008 GMT+0200,76.312,76.298
17.02.2021 16:36:46.816 GMT+0200,76.302,76.288
17.02.2021 16:36:50.535 GMT+0200,76.292,76.288
17.02.2021 16:36:50.585 GMT+0200,76.292,76.278
17.02.2021 16:36:54.508 GMT+0200,76.282,76.268
17.02.2021 16:36:56.867 GMT+0200,76.272,76.268
17.02.2021 16:36:56.917 GMT+0200,76.272,76.258
17.02.2021 16:36:58.622 GMT+0200,76.263,76.247
17.02.2021 16:37:02.418 GMT+0200,76.252,76.248
17.02.2021 16:37:02.468 GMT+0200,76.252,76.238
17.02.2021 16:37:03.685 GMT+0200,76.263,76.247
17.02.2021 16:37:03.927 GMT+0200,76.262,76.238
17.02.2021 16:37:04.407 GMT+0200,76.262,76.248
17.02.2021 16:37:07.117 GMT+0200,76.273,76.247
17.02.2021 16:37:07.226 GMT+0200,76.262,76.248
17.02.2021 16:37:07.588 GMT+0200,76.272,76.248
17.02.2021 16:37:07.688 GMT+0200,76.273,76.257
17.02.2021 16:37:07.896 GMT+0200,76.273,76.247
17.02.2021 16:37:08.058 GMT+0200,76.272,76.258
17.02.2021 16:37:08.159 GMT+0200,76.263,76.247
17.02.2021 16:37:09.296 GMT+0200,76.263,76.237
17.02.2021 16:37:09.622 GMT+0200,76.253,76.237
17.02.2021 16:37:11.622 GMT+0200,76.242,76.238
17.02.2021 16:37:11.672 GMT+0200,76.242,76.228
17.02.2021 16:37:11.894 GMT+0200,76.252,76.238
17.02.2021 16:37:12.073 GMT+0200,76.252,76.228
17.02.2021 16:37:12.617 GMT+0200,76.243,76.227
17.02.2021 16:37:15.774 GMT+0200,76.252,76.228
17.02.2021 16:37:15.925 GMT+0200,76.253,76.237
17.02.2021 16:37:17.038 GMT+0200,76.263,76.237
17.02.2021 16:37:17.139 GMT+0200,76.252,76.238
17.02.2021 16:37:17.248 GMT+0200,76.263,76.237
17.02.2021 16:37:17.298 GMT+0200,76.262,76.248
17.02.2021 16:37:19.470 GMT+0200,76.252,76.238
17.02.2021 16:37:20.640 GMT+0200,76.263,76.237
17.02.2021 16:37:20.691 GMT+0200,76.263,76.247
17.02.2021 16:37:21.555 GMT+0200,76.252,76.248
17.02.2021 16:37:21.606 GMT+0200,76.253,76.237
17.02.2021 16:37:26.074 GMT+0200,76.243,76.227
17.02.2021 16:37:28.791 GMT+0200,76.242,76.218
17.02.2021 16:37:28.841 GMT+0200,76.242,76.228
17.02.2021 16:37:30.132 GMT+0200,76.243,76.217
17.02.2021 16:37:30.497 GMT+0200,76.243,76.227
17.02.2021 16:37:32.317 GMT+0200,76.252,76.228
17.02.2021 16:37:32.367 GMT+0200,76.242,76.228
17.02.2021 16:37:32.467 GMT+0200,76.252,76.228
17.02.2021 16:37:33.032 GMT+0200,76.242,76.228
17.02.2021 16:37:34.188 GMT+0200,76.233,76.217
17.02.2021 16:37:42.744 GMT+0200,76.213,76.197
17.02.2021 16:37:46.252 GMT+0200,76.202,76.198
17.02.2021 16:37:46.303 GMT+0200,76.202,76.188
17.02.2021 16:37:48.306 GMT+0200,76.192,76.178
17.02.2021 16:37:50.503 GMT+0200,76.182,76.168
17.02.2021 16:37:51.621 GMT+0200,76.193,76.177
17.02.2021 16:37:52.652 GMT+0200,76.202,76.188
17.02.2021 16:37:53.138 GMT+0200,76.202,76.178
17.02.2021 16:37:53.442 GMT+0200,76.193,76.177
17.02.2021 16:37:56.662 GMT+0200,76.192,76.168
17.02.2021 16:37:56.920 GMT+0200,76.182,76.168
17.02.2021 16:37:59.021 GMT+0200,76.172,76.158
17.02.2021 16:38:01.233 GMT+0200,76.162,76.148
17.02.2021 16:38:02.067 GMT+0200,76.172,76.158
17.02.2021 16:38:03.374 GMT+0200,76.182,76.168
17.02.2021 16:38:03.953 GMT+0200,76.183,76.157
17.02.2021 16:38:04.115 GMT+0200,76.172,76.158
17.02.2021 16:38:04.566 GMT+0200,76.182,76.158
17.02.2021 16:38:04.895 GMT+0200,76.182,76.168
17.02.2021 16:38:05.372 GMT+0200,76.182,76.158
17.02.2021 16:38:05.422 GMT+0200,76.183,76.167
17.02.2021 16:38:07.691 GMT+0200,76.172,76.158
17.02.2021 16:38:08.780 GMT+0200,76.163,76.147
17.02.2021 16:38:10.646 GMT+0200,76.153,76.147
17.02.2021 16:38:10.696 GMT+0200,76.152,76.138
17.02.2021 16:38:11.778 GMT+0200,76.163,76.137
17.02.2021 16:38:12.549 GMT+0200,76.152,76.138
17.02.2021 16:38:13.547 GMT+0200,76.163,76.137
17.02.2021 16:38:14.050 GMT+0200,76.153,76.137
17.02.2021 16:38:17.370 GMT+0200,76.143,76.137
17.02.2021 16:38:17.420 GMT+0200,76.142,76.128
17.02.2021 16:38:18.090 GMT+0200,76.152,76.138
17.02.2021 16:38:22.793 GMT+0200,76.143,76.127
17.02.2021 16:38:27.810 GMT+0200,76.153,76.137
17.02.2021 16:38:28.661 GMT+0200,76.142,76.128
17.02.2021 16:38:38.228 GMT+0200,76.132,76.128
17.02.2021 16:38:38.278 GMT+0200,76.133,76.117
17.02.2021 16:38:46.318 GMT+0200,76.143,76.127
17.02.2021 16:38:46.469 GMT+0200,76.143,76.117
17.02.2021 16:38:46.519 GMT+0200,76.142,76.128
17.02.2021 16:38:46.759 GMT+0200,76.133,76.117
17.02.2021 16:38:47.080 GMT+0200,76.143,76.117
17.02.2021 16:38:47.130 GMT+0200,76.143,76.127
17.02.2021 16:38:47.602 GMT+0200,76.132,76.118
17.02.2021 16:38:48.288 GMT+0200,76.142,76.128
17.02.2021 16:38:49.212 GMT+0200,76.153,76.137
17.02.2021 16:38:49.911 GMT+0200,76.163,76.137
17.02.2021 16:38:50.182 GMT+0200,76.162,76.148
17.02.2021 16:38:52.598 GMT+0200,76.173,76.157
17.02.2021 16:38:53.408 GMT+0200,76.183,76.167
17.02.2021 16:38:53.459 GMT+0200,76.182,76.158
17.02.2021 16:38:53.509 GMT+0200,76.172,76.158
17.02.2021 16:38:54.479 GMT+0200,76.182,76.158
17.02.2021 16:38:54.579 GMT+0200,76.173,76.157
17.02.2021 16:38:55.715 GMT+0200,76.163,76.147
17.02.2021 16:38:56.253 GMT+0200,76.163,76.137
17.02.2021 16:38:56.304 GMT+0200,76.162,76.148
17.02.2021 16:39:00.086 GMT+0200,76.172,76.158
17.02.2021 16:39:00.662 GMT+0200,76.183,76.167
17.02.2021 16:39:01.234 GMT+0200,76.172,76.158
17.02.2021 16:39:02.161 GMT+0200,76.183,76.167
17.02.2021 16:39:02.423 GMT+0200,76.193,76.177
17.02.2021 16:39:08.367 GMT+0200,76.193,76.187
17.02.2021 16:39:08.417 GMT+0200,76.203,76.187
17.02.2021 16:39:10.092 GMT+0200,76.213,76.197
17.02.2021 16:39:11.512 GMT+0200,76.222,76.208
17.02.2021 16:39:12.298 GMT+0200,76.212,76.198
17.02.2021 16:39:12.348 GMT+0200,76.222,76.198
17.02.2021 16:39:12.460 GMT+0200,76.222,76.208
17.02.2021 16:39:12.881 GMT+0200,76.223,76.217
17.02.2021 16:39:12.932 GMT+0200,76.232,76.218
17.02.2021 16:39:13.699 GMT+0200,76.223,76.207
17.02.2021 16:39:14.281 GMT+0200,76.233,76.217
17.02.2021 16:39:14.489 GMT+0200,76.242,76.218
